period,metric,value,unit,source_file,anchor_quote
4Q25,gaap_net_income,21,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'
1Q26,gaap_net_income,-602,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,FINANCIAL SUMMARY p.2: 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'
4Q24,distributable_operating_earnings,427,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Distributable operating earnings ... 437 427 398 437'"
1Q25,distributable_operating_earnings,437,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'Distributable operating earnings ... 437 427 398 437'
2Q25,distributable_operating_earnings,398,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'Distributable operating earnings ... 437 427 398 437'
3Q25,distributable_operating_earnings,427,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'Distributable operating earnings ... 437 427 398 437'
4Q25,distributable_operating_earnings,437,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'Distributable operating earnings ... 437 427 398 437'
1Q26,distributable_operating_earnings,438,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,FINANCIAL SUMMARY p.2: 'Distributable operating earnings ... 437 427 398 437'
4Q24,total_insurance_assets,129698,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
1Q25,total_insurance_assets,131385,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
2Q25,total_insurance_assets,134726,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
3Q25,total_insurance_assets,138520,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
4Q25,total_insurance_assets,143427,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
1Q26,total_insurance_assets,143525,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance assets(1) ... 143,427 138,520 134,726 131,385'"
4Q24,total_insurance_liabilities,115218,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
1Q25,total_insurance_liabilities,117265,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
2Q25,total_insurance_liabilities,120193,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
3Q25,total_insurance_liabilities,122872,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
4Q25,total_insurance_liabilities,126902,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
1Q26,total_insurance_liabilities,127336,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Total insurance liabilities ... 126,902 122,872 120,193 117,265'"
4Q24,adjusted_equity,11760,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
1Q25,adjusted_equity,12173,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
2Q25,adjusted_equity,14688,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
3Q25,adjusted_equity,15213,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
4Q25,adjusted_equity,16837,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
1Q26,adjusted_equity,17080,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Adjusted equity ... 16,837 15,213 14,688 12,173'"
4Q24,total_assets,139953,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Total assets ... 157,181 152,821 148,893 141,612'"
1Q25,total_assets,141612,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total assets ... 157,181 152,821 148,893 141,612'"
2Q25,total_assets,148893,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total assets ... 157,181 152,821 148,893 141,612'"
3Q25,total_assets,152821,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total assets ... 157,181 152,821 148,893 141,612'"
4Q25,total_assets,157181,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total assets ... 157,181 152,821 148,893 141,612'"
1Q26,total_assets,156059,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Total assets ... 157,181 152,821 148,893 141,612'"
4Q24,total_liabilities,126877,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Total liabilities ... 139,264 135,906 133,054 128,602'"
1Q25,total_liabilities,128602,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total liabilities ... 139,264 135,906 133,054 128,602'"
2Q25,total_liabilities,133054,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total liabilities ... 139,264 135,906 133,054 128,602'"
3Q25,total_liabilities,135906,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total liabilities ... 139,264 135,906 133,054 128,602'"
4Q25,total_liabilities,139264,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total liabilities ... 139,264 135,906 133,054 128,602'"
1Q26,total_liabilities,139168,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Total liabilities ... 139,264 135,906 133,054 128,602'"
4Q24,total_equity,13076,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'Total equity ... 17,917 16,915 15,839 13,010'"
1Q25,total_equity,13010,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total equity ... 17,917 16,915 15,839 13,010'"
2Q25,total_equity,15839,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total equity ... 17,917 16,915 15,839 13,010'"
3Q25,total_equity,16915,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total equity ... 17,917 16,915 15,839 13,010'"
4Q25,total_equity,17917,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2: 'Total equity ... 17,917 16,915 15,839 13,010'"
1Q26,total_equity,16891,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"FINANCIAL SUMMARY p.2: 'Total equity ... 17,917 16,915 15,839 13,010'"
4Q24,net_premiums_and_other_policy_revenue,4307,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
1Q25,net_premiums_and_other_policy_revenue,1301,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
2Q25,net_premiums_and_other_policy_revenue,1229,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
