section,page,reason,chunk
ALL,4419,row parsed without values,45660L-X3-8 ..... IndyMac INDX Mortgage Loan Tru INDX 2005-AR31 AX .. ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................258 ..........................
ALL,4423,row parsed without values,"46641C-BM-2 ..... JP Morgan Mortgage Trust 2014- JPMMT 2014-1 2AX ... ... ... ....... .......... .. 1.A FE .. .......................... ....0.0990 ..................10,106 .......................... "
ALL,4424,row parsed without values,"52523D-AB-6 ..... Lehman XS Trust 2006-9 LXS 2006-9 A1B ............... ... ... ....... .......... ...1.A Z .. .......................... ............. 14,685,163 .0000 ................... 4,406 ....."
ALL,4424,row parsed without values,576431-AG-5 ..... MASTR Adjustable Rate Mortgage MARM 2007-1 IX2 .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................70 ..........................
ALL,4431,row parsed without values,"751151-AK-7 ..... RALI Series 2006-QS12 Trust RALI 2006-QS12 2A6 .... ... ... ....... .......... ....6. * ... .......................... ....1.2970 ..................18,049 .......................... "
ALL,4431,row parsed without values,"751151-AM-3 ..... RALI Series 2006-QS12 Trust RALI 2006-QS12 2A8 .... ... ... ....... .......... ....6. * ... .......................... ....0.9150 ..................24,824 .......................... "
ALL,4432,row parsed without values,"761118-UZ-9 ..... RALI Series 2006-QS2 Trust RALI 2006-QS2 1A18 ..... ... ... ....... .......... ...6. FE .. .......................... ....0.1990 ..................16,515 .......................... ."
ALL,4434,row parsed without values,81743P-AD-8 ..... Sequoia Mortgage Trust 2003-1 SEMT 2003-1 X1B ..... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................18 ..........................
ALL,4434,row parsed without values,"81744F-GP-6 ..... Sequoia Mortgage Trust 2005-1 SEMT 2005-1 XA ....... ... ... ....... .......... .. 2.B FE .. .......................... ....0.2580 ..................10,614 .........................."
ALL,4434,row parsed without values,863579-JJ-8 ..... Structured Adjustable Rate Mor SARM 2004-19 2A1X .. ... ... ....... .......... ....6. * ... .......................... ....0.0200 ......................241 ..........................
ALL,4435,row parsed without values,"86358H-RG-6 ..... Structured Asset Mortgage Inve SAMI 2002-AR5 X .... ... ... ....... .......... ....6. * ... .......................... ....0.7150 ................... 8,024 .........................."
ALL,4436,row parsed without values,86363G-AP-9 ..... Structured Adjustable Rate Mor SARM 2007-3 4AX .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................41 ..........................
ALL,4436,row parsed without values,881561-FT-6 ..... Terwin Mortgage Trust Series T TMTS 2004-3HE N .... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ........................ 5 .........................
ALL,4438,row parsed without values,"93364B-AG-5 ..... WaMu Mortgage Pass-Through Cer WAMU 2007-OA5 2XPP ... ... ....... .......... ....6. * ... .......................... ....0.1570 ..................14,411 .......................... .."
ALL,4438,row parsed without values,"93364C-AG-3 ..... WaMu Mortgage Pass-Through Cer WAMU 2007-OA4 2XPP ... ... ....... .......... ....6. * ... .......................... ....0.1460 ..................27,816 .......................... .."
ALL,4502,row parsed without values,000000-00-0 ..... Turbin Finance Trust 2024-1 Turbin Finance Trust 2024-1 ........................................................ ... ... B...... .......... ....6. Z ... .........................5 ..
