quarter,metric,value
4Q24,nia_short_term,1015
4Q24,nia_total,248643
4Q24,nia_us_gov,5531
4Q24,nrl_begin,225899
4Q24,nrl_deferred_total,145416
4Q24,nrl_end,225926
4Q24,nrl_fa,47384
4Q24,nrl_fixed,62705
4Q24,nrl_indexed,82711
4Q24,nrl_life_other,3439
4Q24,nrl_payout,4701
4Q24,nrl_pga,24986
4Q24,nrl_total,225926
4Q24,other_spread,0
4Q24,outflow_income_planned,-1661
4Q24,outflow_isc_unplanned,-738
4Q24,outflow_maturity_driven,-2167
4Q24,outflow_oosc_planned,-1131
4Q24,outflow_policyholder,-3530
4Q24,outflows_adip,-1439
4Q24,outflows_athene,-5697
4Q24,pga,47
4Q24,retail,7954
4Q24,roll_acra_nci,-4418
4Q24,roll_acra_own,-1774
4Q24,roll_block,0
4Q24,roll_ceded_3p,-921
4Q24,roll_gross_inflows,14465
4Q24,roll_net_inflows,9126
4Q24,roll_net_withdrawals,-5697
4Q24,roll_other,-1628
4Q24,sre,838
4Q24,sre_alt_nii,269
4Q24,sre_alt_nii_pct,9.25
4Q24,sre_cof,-2116
4Q24,sre_cof_pct,-3.46
4Q24,sre_fees,29
4Q24,sre_fees_pct,0.05
4Q24,sre_fi_nii,2914
4Q24,sre_fi_nii_pct,5.0
4Q24,sre_fin,-137
4Q24,sre_fin_pct,-0.22
4Q24,sre_nie,3183
4Q24,sre_nie_pct,5.2
4Q24,sre_nis,1096
4Q24,sre_nis_pct,1.79
4Q24,sre_opex,-121
4Q24,sre_opex_pct,-0.2
4Q24,sre_pct,1.37
4Q24,total_gross_inflows,14197
4Q24,total_gross_inflows_check,14197
4Q24,total_gross_outflows_check,-7136
4Q25,acra_begin,86826
4Q25,acra_end,89725
4Q25,acra_inflows,3723
4Q25,acra_other,730
4Q25,acra_own,0
4Q25,acra_withdrawals,-1554
4Q25,avg_nia,289295
4Q25,avg_nia_alt,13526
4Q25,avg_nia_fi,275769
4Q25,core_outflows,-7714
4Q25,cq_naic1,100710
4Q25,cq_naic2,77217
4Q25,cq_naic3,4007
4Q25,cq_naic4,1431
4Q25,cq_naic5,644
4Q25,cq_naic6,917
4Q25,cq_nondesig_big,123
4Q25,cq_nondesig_ig,415
4Q25,cq_total_big,7122
4Q25,cq_total_desig,185464
4Q25,cq_total_ig,178342
4Q25,eq_ahl_total,20492
4Q25,eq_aoci,-2641
4Q25,eq_apic,19238
4Q25,eq_nci,15146
4Q25,eq_re,3895
4Q25,eq_total,35638
4Q25,eq_total_le,442205
4Q25,flow_reins,1665
4Q25,funding_agreements,2800
4Q25,gaap_dac,328
4Q25,gaap_fpb,2752
4Q25,gaap_inv_gl,123
4Q25,gaap_iscb,3003
4Q25,gaap_mrb,47
4Q25,gaap_ni,898
4Q25,gaap_ni_ahl,523
4Q25,gaap_ni_common,488
4Q25,gaap_ni_nci,375
4Q25,gaap_nii,4755
4Q25,gaap_opex,627
4Q25,gaap_other_rev,9
4Q25,gaap_pref,35
4Q25,gaap_pref_red,0
4Q25,gaap_premiums,2277
4Q25,gaap_pretax,1377
4Q25,gaap_product_charges,306
4Q25,gaap_tax,479
4Q25,gaap_total_be,6757
4Q25,gaap_total_rev,8134
4Q25,gaap_vie_gl,632
4Q25,gaap_vie_nii,32
4Q25,gross_inorganic,1340
4Q25,gross_organic,12687
4Q25,gross_outflows,-9268
4Q25,inflows_adip,3515
4Q25,inflows_athene,10142
4Q25,inflows_ceded_3p,370
4Q25,net_flows,4759
4Q25,nia_abs,38417
4Q25,nia_alts,13868
4Q25,nia_cash,10490
4Q25,nia_clo,25401
4Q25,nia_cmbs,9877
4Q25,nia_cml,31789
4Q25,nia_corporate,86664
4Q25,nia_credit_sub,112065
4Q25,nia_equity_sec,2039
4Q25,nia_munis_foreign,3081
4Q25,nia_other,5438
4Q25,nia_other_inv_sub,71837
4Q25,nia_real_estate_sub,92584
4Q25,nia_rmbs,7592
4Q25,nia_rml,43326
4Q25,nia_short_term,207
4Q25,nia_total,292414
4Q25,nia_us_gov,14225
4Q25,nrl_begin,266451
4Q25,nrl_deferred_total,165096
4Q25,nrl_end,271233
4Q25,nrl_fa,71433
4Q25,nrl_fixed,77774
4Q25,nrl_indexed,87322
4Q25,nrl_life_other,4550
4Q25,nrl_payout,5066
4Q25,nrl_pga,25088
4Q25,nrl_total,271233
4Q25,other_spread,133
4Q25,outflow_income_planned,-1922
4Q25,outflow_isc_unplanned,-953
4Q25,outflow_maturity_driven,-3641
