section,page,cusip,description,naic_designation,svo_symbol,actual_cost,par_value,fair_value,bacv,stated_rate,effective_rate,acquired,maturity
ICO,5836,91282C-LH-2,,1.A,,21144407,21250000,21276065,21208036,3.75,4.018,10/10/2024,08/31/2026
ICO,5836,91282C-LJ-8,,1.A,,94438475,93586300,93316678,94285116,3.75,3.6,09/30/2024,08/31/2031
ICO,5836,91282C-LK-5,,1.A,,8065560,8028700,8030178,8055303,3.625,3.519,09/30/2024,08/31/2029
ICO,5836,91282C-LM-1,,1.A,,136968443,139456300,138131660,137345147,3.625,3.918,10/11/2024,09/30/2031
ICO,5836,91282C-LN-9,,1.A,,30913793,31394400,31259818,31022300,3.5,3.843,10/11/2024,09/30/2029
ICO,5836,91282C-LP-4,,1.A,,6197531,6250000,6246290,6229077,3.5,3.949,10/11/2024,09/30/2026
ICO,5836,91282C-LQ-2,,1.A,,3125743,3125000,3146414,3125383,3.875,3.867,10/11/2024,10/15/2027
ICO,5836,91282C-LR-0,,1.A,,119114465,120000000,122077908,119294232,4.125,4.289,11/06/2024,10/31/2029
ICO,5836,91282C-LU-3,,1.A,,118185636,120000000,121898712,118440566,4.125,4.377,11/06/2024,10/31/2031
ICO,5836,91282C-LW-9,,1.A,,308727051,317500000,321105498,309490013,4.25,4.598,02/12/2025,11/15/2034
ICO,5836,91282C-MC-2,,1.A,,26043611,26250000,27179452,26068670,4.5,4.632,01/13/2025,12/31/2031
ICO,5836,91282C-MD-0,,1.A,,6186789,6250000,6419178,6197998,4.375,4.603,01/13/2025,12/31/2029
ICO,5836,91282C-MF-5,,1.A,,52431328,52500000,53280392,52448646,4.25,4.289,01/31/2025,01/15/2028
ICO,5836,91282C-MG-3,,1.A,,115432029,116000000,118613805,115509490,4.25,4.358,02/20/2025,01/31/2030
ICO,5836,91282C-MH-1,,1.A,,7488306,7500000,7548222,7493415,4.125,4.219,01/31/2025,01/31/2027
ICO,5836,91282C-MK-4,,1.A,,121842873,122500000,125980384,121904674,4.375,4.465,02/12/2025,01/31/2032
ICO,5836,91282C-MM-0,,1.A,,686896185,668800000,694762013,685766032,4.625,4.285,05/02/2025,02/15/2035
ICO,5836,91282C-MR-9,,1.A,,120791061,121250000,123015218,120827675,4.125,4.191,03/17/2025,02/29/2032
ICO,5836,91282C-NC-1,,1.A,,766433594,775000000,782122560,766886569,4.25,4.388,08/06/2025,05/15/2035
ICO,5836,91282C-NT-4,,1.A,,49625000,50000000,50400205,49650813,4.25,4.34,08/18/2025,08/15/2035
ICO,5836,912834-JP-4,,1.A,,72451765,,72283505,73111171,0.0,4.794,12/17/2025,02/15/2041
ICO,5836,912834-KH-0,,1.A,,72499284,,72408869,73162888,0.0,4.815,12/17/2025,05/15/2041
ICO,5836,912834-KP-2,,1.A,,42555290,,42406417,43169808,0.0,4.786,09/12/2025,08/15/2041
ICO,5837,912834-KV-9,,1.A,,42565114,,42347661,43182416,0.0,4.806,09/12/2025,11/15/2041
ICO,5837,748148-QR-7,,1.D,FE,11575250,10000000,11284600,10394724,7.5,6.288,07/19/2002,09/15/2029
ICO,5837,04317N-A#-6,,2.A,FE,10000000,10000000,10276735,10000000,6.3,6.3,12/03/2024,09/10/2029
ICO,5837,04317N-B*-9,,2.A,FE,14500000,14500000,14919276,14500000,6.32,6.32,12/03/2024,09/10/2030
ICO,5837,168863-CE-6,,1.G,FE,2781271,2750000,2210699,2740833,3.86,3.778,04/14/2025,06/21/2047
ICO,5837,168863-DL-9,,1.F,FE,26892811,25250000,18613085,26561905,3.5,3.141,04/23/2025,01/25/2050
ICO,5837,168863-DN-5,,1.F,FE,506210,500000,448913,503618,2.55,2.416,03/25/2021,01/27/2032
ICO,5837,168863-DS-4,,1.F,FE,25509341,29000000,22347185,25650033,3.1,4.061,03/27/2025,05/07/2041
ICO,5837,224939-AA-6,,2.C,FE,63586242,69056334,75098764,70920929,9.635,,09/12/2024,12/15/2043
ICO,5837,224939-AB-4,,2.C,FE,1639684,1770675,1912329,1771171,9.7,9.378,06/09/2025,03/05/2045
ICO,5837,29135L-AJ-9,,1.C,FE,33185554,29000000,23297524,32607301,3.875,3.12,04/23/2025,04/16/2050
ICO,5837,455780-CT-1,,2.B,FE,8464307,7500000,6192777,8370183,4.2,3.496,09/29/2021,10/15/2050
ICO,5837,45846A-AA-8,,2.A,FE,52045000,51000000,43888805,51669500,4.5,4.4,11/17/2021,06/30/2056
ICO,5837,46513J-XN-6,,1.F,FE,22732500,21000000,14121723,22559487,3.375,2.942,11/17/2021,01/15/2050
ICO,5837,698299-BB-9,,2.C,FE,1124833,1015000,763933,1115864,4.3,3.712,07/28/2021,04/29/2053
ICO,5837,698299-BH-6,,2.C,FE,6100000,5000000,3867988,5960815,4.5,3.309,06/17/2020,04/16/2050
ICO,5837,698299-BL-7,,2.C,FE,10501095,9300000,6174855,10414547,3.87,3.282,09/22/2020,07/23/2060
ICO,5837,698299-BM-5,,2.C,FE,3075000,2500000,1879449,3021902,4.5,3.371,06/19/2020,04/01/2056
ICO,5837,715638-DQ-2,,2.B,FE,1715668,2129000,1164416,1727093,2.78,3.686,04/14/2025,12/01/2060
ICO,5837,715638-DT-6,,2.B,FE,7425000,10000000,7043283,7565973,3.55,5.314,09/08/2022,03/10/2051
ICO,5837,74727P-AY-7,,1.C,FE,6799844,7000000,6909529,6803498,5.103,5.319,03/26/2025,04/23/2048
ICO,5837,74727P-BE-0,,1.C,FE,18606000,15000000,13280513,18165750,4.4,3.15,06/25/2020,04/16/2050
ICO,5837,760942-BD-3,,2.B,FE,7740000,6000000,5472331,7610797,4.975,3.476,11/17/2021,04/20/2055
ICO,5837,76721R-AA-6,,1.C,FE,10231477,9640976,9158927,9709950,12.086,,08/04/2023,09/20/2032
ICO,5837,80413T-AJ-8,,1.E,FE,14830661,13500000,12215606,14645081,5.0,4.377,04/23/2025,04/17/2049
ICO,5837,80413T-AK-5,,1.E,FE,6935460,7000000,7049597,6975851,4.375,4.489,01/10/2019,04/16/2029
ICO,5837,91086Q-AV-0,,2.B,FE,25471250,20500000,20468186,24448651,6.05,4.217,06/17/2020,01/11/2040
ICO,5837,91086Q-AZ-1,,2.B,FE,1998145,2225000,1872096,1998515,5.75,6.405,12/22/2023,10/12/2110
ICO,5837,91086Q-BF-4,,2.B,FE,8676677,9200000,7257023,8643763,4.6,5.01,04/23/2025,01/23/2046
ICO,5837,91087B-AK-6,,2.B,FE,555697,480000,468470,526841,4.75,2.981,08/17/2021,04/27/2032
ICO,5837,91087B-AL-4,,2.B,FE,1294605,1170000,943484,1283626,5.0,4.356,03/25/2021,04/27/2051
ICO,5837,91087B-AQ-3,,2.B,FE,5783336,5650000,4543872,5750482,4.28,4.102,03/26/2025,08/14/2041
ICO,5837,BQ6100-47-4,,2.A,FE,8904910,10400000,8949874,9022378,4.5,5.611,08/18/2022,06/30/2056
ICO,5837,M6320U-AF-6,,1.E,FE,29125000,25000000,21652133,28585505,4.625,3.663,06/24/2020,10/04/2047
ICO,5837,M8489S-AK-3,,1.C,FE,48058470,36500000,34451529,46781253,4.817,3.105,11/12/2021,03/14/2049
ICO,5837,M87068-AT-5,,1.F,FE,81919600,72460000,48875495,81211947,3.8,3.217,06/25/2020,05/13/2060
ICO,5837,N0727E-AA-4,,2.A,PL,7236834,6723487,6908383,7037264,9.069,4.029,05/10/2023,06/12/2027
ICO,5837,P3579E-CH-8,,3.B,FE,8761220,8696000,8388869,8740655,4.875,4.785,11/17/2021,09/23/2032
ICO,5837,X93622-FY-3,,2.C,FE,10888074,16500000,10217475,11112062,3.125,5.516,09/11/2024,09/21/2051
ICO,5837,X93622-GG-1,,2.C,FE,10127520,10000000,10166014,10099198,5.5,5.353,08/02/2022,06/16/2034
ICO,5837,Y20721-BB-4,,2.B,FE,16590165,13500000,13601316,16066510,5.25,3.664,03/26/2025,01/17/2042
ICO,5837,Y20721-BE-8,,2.B,FE,5032147,6000000,5605319,5053938,4.625,6.115,04/14/2025,04/15/2043
ICO,5837,53566T-AA-9,,2.C,FE,2157072,2377406,2323346,2203173,4.737,7.132,01/12/2024,01/10/2033
ICO,5838,13063A-5E-0,,1.C,FE,6277276,4000000,4676120,5537146,7.5,2.345,08/17/2021,04/01/2034
ICO,5838,13063B-JC-7,,1.C,FE,1262585,800000,984240,1185591,7.6,3.37,04/04/2025,11/01/2040
ICO,5838,167560-PL-9,,1.B,FE,2074920,2000000,2089940,2043608,5.72,5.447,10/29/2010,12/01/2038
ICO,5838,54438C-NZ-1,,1.B,FE,1794607,1315000,1421844,1687101,6.6,4.082,01/18/2019,08/01/2042
ICO,5838,718814-ZZ-2,,1.B,FE,24493451,23935000,24466836,24259002,5.269,5.069,04/04/2025,07/01/2034
ICO,5838,010869-EG-6,,2.A,FE,5021541,13455000,11246900,10562345,0.0,6.56,06/19/2014,10/01/2029
ICO,5838,010869-EH-4,,2.A,FE,5935976,18220000,13968181,12537403,0.0,6.608,09/05/2025,10/01/2031
ICO,5838,010869-EJ-0,,2.A,FE,6821203,22698000,15965546,14557198,0.0,6.69,06/19/2014,10/01/2032
ICO,5838,02765U-CY-8,,1.F,FE,2379607,1810000,1929080,2221683,6.449,4.15,06/01/2018,02/15/2044
ICO,5838,02765U-EK-6,,1.F,FE,1173861,900000,1137771,1168045,8.084,5.627,04/04/2025,02/15/2050
ICO,5838,047870-SN-1,,1.D,FE,17149695,17500000,14953400,17159983,2.257,2.481,10/17/2024,11/01/2035
ICO,5838,047870-SP-6,,1.D,FE,2009010,2000000,1487320,2004644,2.913,2.86,10/16/2020,11/01/2043
ICO,5838,114894-ZT-8,,1.E,FE,1000000,1000000,902620,1000000,2.914,2.914,11/01/2019,10/01/2032
ICO,5838,114894-ZU-5,,1.E,FE,1705000,1705000,1522974,1705000,3.034,3.033,11/01/2019,10/01/2033
ICO,5838,114894-ZV-3,,1.E,FE,2200000,2200000,1952852,2200000,3.084,3.083,11/01/2019,10/01/2034
ICO,5838,114894-ZW-1,,1.E,FE,18000000,18000000,15207840,18000000,3.477,3.476,11/01/2019,10/01/2043
ICO,5838,18085P-MT-8,,1.C,FE,2541285,1832000,2034949,2399072,6.82,4.218,01/18/2019,07/01/2045
ICO,5838,235036-6Z-8,,1.E,FE,1521652,1500000,1215615,1511021,3.089,2.924,08/26/2020,11/01/2040
ICO,5838,250336-EZ-3,,1.F,FE,7000000,7000000,5532520,7000000,3.985,3.985,10/09/2020,01/01/2050
ICO,5838,295139-AR-0,,1.D,,10484500,10484500,10230984,10484500,4.52,4.52,04/16/2018,04/01/2038
ICO,5838,353187-EV-5,,1.C,FE,5210376,5200000,3303508,5209267,2.877,2.866,08/20/2021,11/01/2050
ICO,5838,38122N-A8-5,,1.D,FE,5000000,5000000,4952450,5000000,1.6,1.6,09/30/2021,06/01/2026
ICO,5838,38122N-B4-3,,1.D,FE,3000000,3000000,2779380,3000000,2.346,2.346,09/30/2021,06/01/2030
ICO,5838,38122N-D3-3,,1.F,FE,2000000,2000000,1795220,2000000,3.037,3.037,12/08/2021,06/01/2032
ICO,5838,38122N-D4-1,,1.G,FE,11228686,11400000,9681222,11272831,3.487,3.634,01/26/2022,06/01/2036
ICO,5838,38122N-D5-8,,1.G,FE,10570900,12500000,9753750,10828478,3.714,5.079,09/01/2022,06/01/2041
ICO,5838,38122N-D6-6,,2.B,FE,7000000,7000000,5085920,7000000,4.214,4.213,12/08/2021,06/01/2050
ICO,5838,38122N-D8-2,,2.C,FE,2955000,2955000,2634560,2955000,3.85,3.849,12/08/2021,06/01/2050
ICO,5839,414008-CU-4,,1.F,FE,14987710,14885000,13116215,14956542,3.344,3.284,10/22/2020,11/15/2037
ICO,5839,45506D-6P-5,,1.D,FE,2500000,2500000,2297175,2500000,3.287,3.287,10/30/2019,03/01/2034
ICO,5839,45506D-6Q-3,,1.D,FE,3560000,3560000,3149318,3560000,3.63,3.63,10/30/2019,03/01/2039
ICO,5839,45506E-CH-4,,1.F,FE,4000000,4000000,3480440,4000000,2.672,2.671,10/01/2021,07/01/2034
ICO,5839,45506E-CJ-0,,1.F,FE,4000000,4000000,3424400,4000000,2.772,2.772,10/01/2021,07/01/2035
ICO,5839,45506E-CK-7,,1.F,FE,4000000,4000000,3390880,4000000,2.872,2.872,10/01/2021,07/01/2036
ICO,5839,487312-AD-2,,1.D,YE,10500000,10500000,8428208,10500000,4.166,4.165,04/03/2019,11/15/2048
ICO,5839,544495-VY-7,,1.D,FE,2869778,2505000,2696081,2856212,6.574,5.345,10/17/2024,07/01/2045
ICO,5839,544495-WA-8,,1.D,FE,11000000,11000000,11658790,11000000,6.603,6.602,12/01/2010,07/01/2050
ICO,5839,598329-AC-4,,1.E,FE,64965,88075,75286,69645,5.531,8.126,11/30/2011,01/01/2051
ICO,5839,64971M-T4-4,,1.A,FE,5052949,5000000,5077800,5005007,5.267,5.172,05/19/2010,05/01/2027
ICO,5839,64972F-K8-8,,1.B,FE,2781047,2520000,2577506,2703169,5.952,5.275,05/06/2010,06/15/2042
ICO,5839,66285W-A9-7,,1.D,FE,5430000,5430000,4362408,5430000,3.029,3.028,10/02/2020,01/01/2040
ICO,5839,66285W-B2-1,,1.D,FE,2460000,2460000,1841384,2460000,3.079,3.078,10/02/2020,01/01/2042
ICO,5839,66285W-E5-1,,1.D,FE,9000000,9000000,6799500,9000000,3.011,3.01,05/06/2021,01/01/2043
